,Name of movie,Description,Age rate,Year,Runtime,Genre
158,Fido,"Space radiation turns the dead into Zombies. Zomcon fights zombies and finds ways to pacify and use them. On pre-teen Timmy's (Kesun Loder's) 1950s suburban street, they all have a zombie doing menial chores. Timmy's zombie becomes his pet and friend, and is named Fido (Sir Billy Connolly).",R,2006,93,"Comedy, Drama, Horror            "
159,Wedding Crashers,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",R,2005,119,"Comedy, Romance            "
160,The Day the Earth Stood Still,A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.,PG-13,2008,104,"Drama, Sci-Fi, Thriller            "
161,Star Wars: Episode VI - Return of the Jedi,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",PG,1983,131,"Action, Adventure, Fantasy            "
162,Jurassic Park,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,PG-13,1993,127,"Action, Adventure, Sci-Fi            "
163,Role Models,Wild behavior forces a pair of energy drink reps to enroll in a Big Brother program.,R,2008,99,Comedy            
164,The Curious Case of Benjamin Button,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",PG-13,2008,166,"Drama, Fantasy, Romance            "
165,The Boy in the Striped Pajamas,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",PG-13,2008,94,"Drama, History, War            "
166,Harry Potter and the Chamber of Secrets,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,PG,2002,161,"Adventure, Family, Fantasy            "
167,Star Wars: Episode II - Attack of the Clones,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",PG,2002,142,"Action, Adventure, Fantasy            "
168,Million Dollar Baby,A determined woman works with a hardened boxing trainer to become a professional.,PG-13,2004,132,"Drama, Sport            "
169,The Devil Wears Prada,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.",PG-13,2006,109,"Comedy, Drama            "
170,The 40-Year-Old Virgin,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",R,2005,116,"Comedy, Romance            "
171,Tekken,Jin Kazama witnesses the death of his mother Jun by Tekken in the slums known as Anvil. After finding a Tekken ID he decides to seek out vengeance for his mother's death.,R,2010,92,"Action, Crime, Drama            "
172,P.S. I Love You,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,PG-13,2007,126,"Comedy, Drama, Romance            "
173,Paranormal Activity 2,"After experiencing what they think are a series of ""break-ins"", a family sets up security cameras around their home, only to realize that the events unfolding before them are more sinister than they seem.",R,2010,91,"Horror, Mystery            "
174,Gangs of New York,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer.",R,2002,167,"Crime, Drama            "
175,The Bourne Identity,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",PG-13,2002,119,"Action, Mystery, Thriller            "
176,Dear John,A romantic drama about a soldier who falls for a conservative college student while he's home on leave.,PG-13,2010,108,"Drama, Mystery, Romance            "
177,Ghost Rider,"When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.",PG-13,2007,110,"Action, Fantasy, Thriller            "
178,Catch Me If You Can,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",PG-13,2002,141,"Biography, Crime, Drama            "
179,Paranormal Activity,"After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence.",R,2007,86,"Horror, Mystery            "
180,Jumper,A teenager with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.,PG-13,2008,88,"Action, Adventure, Sci-Fi            "
181,Blow,"The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.",R,2001,124,"Biography, Crime, Drama            "
182,Hot Fuzz,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town.",R,2007,121,"Action, Comedy, Mystery            "
183,Hancock,Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,PG-13,2008,92,"Action, Drama, Fantasy            "
184,Case 39,"A social worker fights to save a girl from her abusive parents, only to discover that the situation is more dangerous than she ever expected.",R,2009,109,"Horror, Mystery, Thriller            "
185,Conan the Barbarian,"A young boy, Conan, becomes a slave after his parents are killed and tribe destroyed by a savage warlord and sorcerer, Thulsa Doom. When he grows up he becomes a fearless, invincible fighter. Set free, he plots revenge against Thulsa Doom.",R,1982,129,"Action, Adventure, Fantasy            "
186,Dumb and Dumber,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it.",PG-13,1994,107,Comedy            
187,Sweeney Todd: The Demon Barber of Fleet Street,"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett.",R,2007,116,"Drama, Horror, Musical            "
188,National Treasure,A historian races to find the legendary Templar Treasure before a team of mercenaries.,PG,2004,131,"Action, Adventure, Mystery            "
189,Daybreakers,"In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vamps on a way to save humankind.",R,2009,98,"Action, Horror, Sci-Fi            "
190,Shooter,"A marksman living in exile is coaxed back into action after learning of a plot to kill the President. After being double crossed for the attempt and on the run, he sets out for the real killer and the truth.",R,2007,124,"Action, Drama, Thriller            "
191,Mortal Kombat,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,PG-13,1995,101,"Action, Adventure, Fantasy            "
192,The Illusionist,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",PG-13,2006,110,"Drama, Fantasy, Mystery            "
193,Spider-Man 2,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,PG-13,2004,127,"Action, Adventure, Sci-Fi            "
194,The Butterfly Effect,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",R,2004,113,"Drama, Sci-Fi, Thriller            "
195,Pearl Harbor,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,PG-13,2001,183,"Action, Drama, History            "
196,Superman,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",PG,1978,143,"Action, Adventure, Drama            "
197,Batman,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",PG-13,1989,126,"Action, Adventure            "
198,Saw: The Final Chapter,"As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror.",R,2010,90,"Crime, Horror, Mystery            "
199,Inside Man,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",R,2006,129,"Crime, Drama, Mystery            "
200,Return of the Living Dead II,"Curious kids unearth the barrels that previously helped revive the dead, which proves the second time's an undead charm.",R,1988,89,"Comedy, Horror, Sci-Fi            "
201,Planet of the Apes,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",PG-13,2001,119,"Action, Adventure, Sci-Fi            "
202,The Bourne Supremacy,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",PG-13,2004,108,"Action, Mystery, Thriller            "
203,Cloverfield,A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,PG-13,2008,85,"Action, Horror, Sci-Fi            "
204,Scream 3,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",R,2000,116,"Horror, Mystery            "
205,Orphan,A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.,R,2009,123,"Horror, Mystery, Thriller            "
206,Angels & Demons,Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.,PG-13,2009,138,"Action, Mystery, Thriller            "
207,Team America: World Police,"Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.",R,2004,98,"Action, Comedy            "
208,Scream 2,"Two years after the first series of murders, as Sidney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",R,1997,120,"Horror, Mystery            "
209,Training Day,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,R,2001,122,"Crime, Drama, Thriller            "
210,Hitman,"A gun-for-hire known only as Agent 47 hired by a group known only as 'The Organization' is ensnared in a political conspiracy, which finds him pursued by both Interpol and the Russian military as he treks across Russia and Eastern Europe.",R,2007,100,"Action, Crime, Thriller            "
211,Underworld,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",R,2003,121,"Action, Fantasy, Thriller            "
212,Predator,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,R,1987,107,"Action, Adventure, Horror            "
213,Shrek,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",PG,2001,90,"Animation, Adventure, Comedy            "
214,Running Scared,"A low-ranking thug is entrusted by his crime boss to dispose of a gun that killed corrupt cops, but things get out of control when the gun ends up in wrong hands.",R,2006,122,"Action, Crime, Drama            "
215,The Dead Next Door,An elite anti-Zombie team is assembled by the Government to cope with an ever-growing undead infection and the religious cult zealots who fanatically protect the festering foes.,Unrated,1989,78,Horror            
216,Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",R,2004,137,"Action, Crime, Thriller            "
217,Saw,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",R,2004,103,"Horror, Mystery, Thriller            "
218,From Dusk Till Dawn,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",R,1996,108,"Action, Crime, Horror            "
219,Zodiac,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",R,2007,157,"Crime, Drama, Mystery            "
220,Yes Man,"A man challenges himself to say ""yes"" to everything.",PG-13,2008,104,"Comedy, Romance            "
221,Fantastic Four,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",PG-13,2005,106,"Action, Adventure, Fantasy            "
222,The Matrix Reloaded,"Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.",R,2003,138,"Action, Sci-Fi            "
223,The Italian Job,"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.",PG-13,2003,111,"Action, Crime, Thriller            "
224,Eagle Eye,"Jerry and Rachel are two strangers thrown together by a mysterious phone call from a woman they have never met. Threatening their lives and family, she pushes Jerry and Rachel into a series of increasingly dangerous situations, using the technology of everyday life to track and control their every move.",PG-13,2008,118,"Action, Mystery, Thriller            "
225,The Day After Tomorrow,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",PG-13,2004,124,"Action, Adventure, Sci-Fi            "
226,17 Again,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,PG-13,2009,102,"Comedy, Drama, Fantasy            "
227,Man on Fire,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",R,2004,146,"Action, Crime, Drama            "
228,Lord of War,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,R,2005,122,"Action, Crime, Drama            "
229,Remember the Titans,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,PG,2000,113,"Biography, Drama, Sport            "
230,21,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",PG-13,2008,123,"Crime, Drama, History            "
231,Moulin Rouge!,A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star whom a jealous duke covets.,PG-13,2001,127,"Drama, Musical, Romance            "
232,The Haunted Mansion,"A realtor and his wife and children are summoned to a mansion, which they soon discover is haunted, and while they attempt to escape, he learns an important lesson about the family he has neglected.",PG,2003,88,"Comedy, Family, Fantasy            "
233,X2: X-Men United,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",PG-13,2003,134,"Action, Sci-Fi, Thriller            "
234,The Da Vinci Code,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.",PG-13,2006,149,"Mystery, Thriller            "
235,Ocean's Thirteen,"Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.",PG-13,2007,122,"Crime, Thriller            "
236,8 Mile,"A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",R,2002,110,"Drama, Music            "
237,Collateral,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,R,2004,120,"Action, Crime, Drama            "
238,The Chronicles of Riddick,"The wanted criminal Richard Bruno Riddick (Vin Diesel) arrives on a planet called Helion Prime and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe.",R,2004,119,"Action, Adventure, Sci-Fi            "
239,Perfume: The Story of a Murderer,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",R,2006,147,"Crime, Drama, Fantasy            "
240,Get Smart,"Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.",PG-13,2008,110,"Action, Adventure, Comedy            "
241,Charlie and the Chocolate Factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",PG,2005,115,"Adventure, Comedy, Family            "
242,National Treasure: Book of Secrets,Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,PG,2007,124,"Action, Adventure, Mystery            "
243,Starship Troopers,"Humans in a fascist, militaristic future wage war with giant alien bugs.",R,1997,129,"Action, Adventure, Sci-Fi            "
244,The Devil's Advocate,An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.,R,1997,144,"Drama, Mystery, Thriller            "
245,"I, Robot","In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.",PG-13,2004,115,"Action, Mystery, Sci-Fi            "
246,Scary Movie,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",R,2000,88,Comedy            
247,True Lies,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",R,1994,141,"Action, Comedy, Thriller            "
248,Twister,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",PG-13,1996,113,"Action, Adventure, Thriller            "
249,Mulan,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",G,1998,88,"Animation, Adventure, Comedy            "
250,Untraceable,"FBI agent Jennifer Marsh is tasked with hunting down a seemingly untraceable serial killer who posts live videos of his victims on the Internet. As time runs out, the cat and mouse chase becomes more personal.",R,2008,101,"Crime, Mystery, Thriller            "
251,Transporter 2,"Transporter Frank Martin, surfaces in Miami, Florida and is implicated in the kidnapping of the young son of a powerful USA official.",PG-13,2005,87,"Action, Crime, Thriller            "
252,Rush Hour,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way.",PG-13,1998,98,"Action, Comedy, Crime            "
253,Saw VI,"Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw.",R,2009,90,"Horror, Mystery, Thriller            "
254,Mad Max,"In a self-destructing world, a vengeful Australian policeman sets out to stop a violent motorcycle gang.",R,1979,88,"Action, Adventure, Sci-Fi            "
255,Final Destination 2,"Kimberly has a premonition of an accident killing multiple people including her and her friends. She blocks the cars behind her on the ramp and as a police trooper arrives, the accident happens. Death is stalking this group of survivors.",R,2003,90,"Horror, Thriller            "
256,Ghost Town,"Bertram Pincus is a man whose people skills leave much to be desired. When Pincus dies unexpectedly, but is miraculously revived after seven minutes, he wakes up to discover that he now has the annoying ability to see ghosts.",PG-13,2008,102,"Comedy, Drama, Fantasy            "
257,Flightplan,"A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane.",PG-13,2005,98,"Drama, Mystery, Thriller            "
258,Street Kings,"An undercover cop, disillusioned by the death of his wife, is implicated in the murder of an officer and must struggle to clear himself.",R,2008,109,"Action, Crime, Thriller            "
259,Rambo,"In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.",R,2008,92,"Action, Adventure, Thriller            "
260,Pet Sematary II,"A teenage boy and his father move to his recently-deceased mother's hometown, where they encounter the ancient Native American cemetery with the power to raise the dead.",R,1992,100,"Fantasy, Horror            "
261,A Knight's Tale,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.",PG-13,2001,132,"Action, Adventure, Romance            "
262,The Ring,A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,PG-13,2002,115,"Horror, Mystery            "
263,Babel,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.",R,2006,143,Drama            
264,REC,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,R,2007,78,"Horror, Mystery, Thriller            "
265,Alexander,"Alexander, the King of Macedonia and one of the greatest army leaders in the history of warfare, conquers much of the known world.",R,2004,175,"Action, Biography, Drama            "
266,Not Another Teen Movie,A sendup of all the teen movies that have accumulated in the past two decades.,R,2001,89,Comedy            
267,The Tournament,"A tournament is watched by dozens of wealthy men betting on which one of the 30 assassins will survive the next 24 hours ""kill or die"" and claim the USD10,000,000 prize. It takes place in an English town with plenty of CCTVs.",R,2009,95,"Action, Thriller            "
268,The Last Samurai,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,R,2003,154,"Action, Drama            "
269,Underworld: Rise of the Lycans,"An origins story centered on the centuries-old feud between the race of aristocratic vampires and their onetime slaves, the Lycans.",R,2009,92,"Action, Fantasy, Thriller            "
270,Hitch,A smooth-talking man falls for a hardened columnist while helping a shy accountant woo a beautiful heiress.,PG-13,2005,118,"Comedy, Romance            "
271,What Happens in Vegas,"A man and a woman are compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",PG-13,2008,99,"Comedy, Romance            "
272,Edward Scissorhands,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",PG-13,1990,105,"Drama, Fantasy, Romance            "
273,The Bucket List,Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.,PG-13,2007,97,"Adventure, Comedy, Drama            "
274,King Kong,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",PG-13,2005,187,"Action, Adventure, Drama            "
275,Fantastic 4: Rise of the Silver Surfer,The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,PG,2007,92,"Action, Adventure, Fantasy            "
276,The Holiday,"Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.",PG-13,2006,136,"Comedy, Romance            "
277,Ocean's Twelve,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001).,PG-13,2004,125,"Crime, Thriller            "
278,Terminator 3: Rise of the Machines,A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack.,R,2003,109,"Action, Sci-Fi            "
279,War of the Worlds,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.,PG-13,2005,116,"Action, Adventure, Sci-Fi            "
280,Munich,"After the Black September capture and massacre of Israeli athletes at the 1972 Olympics, five men are chosen to eliminate the people responsible for that fateful day.",R,2005,164,"Action, Drama, History            "
281,Hulk,"Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.",PG-13,2003,138,"Action, Sci-Fi            "
282,Click,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,PG-13,2006,107,"Comedy, Drama, Fantasy            "
283,Beowulf,"The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, then Grendel's Mother, who begins killing out of revenge.",PG-13,2007,115,"Animation, Action, Adventure            "
284,The Matrix Revolutions,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,R,2003,129,"Action, Sci-Fi            "
285,Batman Forever,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",PG-13,1995,121,"Action, Adventure            "
286,The Patriot,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,R,2000,165,"Action, Drama, History            "
287,The Transporter,"Frank Martin, who ""transports"" packages for unknown clients, is asked to move a package that soon begins moving, and complications arise.",PG-13,2002,92,"Action, Crime, Thriller            "
288,Bad Boys,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,R,1995,119,"Action, Comedy, Crime            "
289,Green Street Hooligans,"A wrongfully expelled Harvard undergrad moves to London, where he is introduced to the violent underworld of football hooliganism.",R,2005,109,"Crime, Drama, Sport            "
290,The Mist,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",R,2007,126,"Horror, Sci-Fi, Thriller            "
291,Friday the 13th,A group of young adults visit a boarded up campsite named Crystal Lake where they soon encounter the mysterious Jason Voorhees and his deadly intentions.,R,2009,97,"Horror, Mystery, Thriller            "
292,The Godfather: Part III,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.",R,1990,162,"Crime, Drama            "
293,Toy Story 2,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",G,1999,92,"Animation, Adventure, Comedy            "
294,King Arthur,A demystified take on the tale of King Arthur and the Knights of the Round Table.,PG-13,2004,126,"Action, Adventure, Drama            "
295,Insomnia,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,R,2002,118,"Drama, Mystery, Thriller            "
296,Crank,Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.,R,2006,88,"Action, Crime, Thriller            "
297,Gone in 60 Seconds,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,PG-13,2000,118,"Action, Crime, Thriller            "
298,50 First Dates,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.,PG-13,2004,99,"Comedy, Drama, Romance            "
299,Vanilla Sky,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,R,2001,136,"Fantasy, Mystery, Romance            "
300,The Perfect Storm,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,PG-13,2000,130,"Action, Adventure, Drama            "
301,Crank: High Voltage,Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker which requires regular jolts of electricity to keep working.,R,2009,96,"Action, Crime, Thriller            "
302,Blade,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",R,1998,120,"Action, Horror, Sci-Fi            "
303,You Don't Mess with the Zohan,An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.,PG-13,2008,113,Comedy            
304,30 Days of Night,"After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.",R,2007,113,"Action, Horror, Thriller            "
305,Men in Black,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,PG-13,1997,98,"Action, Adventure, Comedy            "
306,Step Up,"Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",PG-13,2006,104,"Crime, Drama, Music            "
307,The Kingdom,A team of U.S. government agents are sent to investigate the bombing of an American facility in the Middle East.,R,2007,110,"Action, Drama, Thriller            "
308,Van Wilder,The most popular kid on campus meets a beautiful journalist who makes him realize that maybe he's afraid to graduate.,R,2002,92,"Comedy, Romance            "
309,The Box,"A small wooden box arrives on the doorstep of a married couple, who know that opening it will grant them a million dollars and kill someone they don't know.",PG-13,2009,115,"Drama, Mystery, Thriller            "
310,1408,"A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",PG-13,2007,104,"Fantasy, Horror, Mystery            "
311,Transporter 3,"Frank Martin is forced to deliver Valentina, the kidnapped daughter of a Ukrainian government official, from Marseilles to Odessa on the Black Sea. En route, he has to contend with thugs who want to intercept Valentina's safe delivery.",PG-13,2008,104,"Action, Crime, Thriller            "
312,Total Recall,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",R,1990,113,"Action, Sci-Fi, Thriller            "
313,Austin Powers: International Man of Mystery,A world-class playboy and part-time secret agent from the 1960s emerges after thirty years in a cryogenic state to battle with his nemesis Dr. Evil.,PG-13,1997,89,"Adventure, Comedy            "
314,Legally Blonde,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.",PG-13,2001,96,"Comedy, Romance            "
315,Mission: Impossible III,IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,PG-13,2006,126,"Action, Adventure, Thriller            "
